,Categories,Subject,Context
0,Development & Testing,Can we help your front end needs?,"Hi {{First Name}},I noticed on AngelList that you are scaling your front end team. As you know, finding top notch front end developers is hard and super expensive.That's where we come in. We are a team of front end specialists with expertise in Angular 1/2 and ReactJS. Our strength is that we bring product thinking, visual design and UX sensibilities in addition to our technical expertise.We have a proven track record of delivering complex front ends like:Completely re-engineering 100+ screens of a legacy EMR application in Angular.Implemented an MPA for web and mobile with the same code base leveraging isometric javascript in React meeting stringent performance requirements.Complex form builder to dynamically generate Angular forms and grids.We are passionate about front end technologies and actively contribute back to open source projects and actively write about our learning.Here are some of our open-source contributions:{{Github link to project 1}}{{Github link to project 2}}{{blog post detailing product offering and past work}}Can we get on a 5-minute call to explore if we can help your front end initiatives?Regards,"
1,Sales & Marketing,Software Testing services- {{Your Company Name}},"Dear {{First Name}},Hope you are doing well!I am writing from {{Your Company Name}} a fast growing StartUp in Software Testing & QA services. I have gone through {{Company Name}} profile and thought of connecting with you to showcase our Software Testing capabilities. We are an enthusiastic team of Software Tester & QA professionals, passionate about what we do and strive to deliver only quality results to make your products seamless & free of bugs.Our services include:Test ManagementAutomation & Manual TestingMobile & Functional TestingCompatibility & Regression Testing Performance & Security Testing Value additions that {{Your Company Name}} brings to the table: As an independent software testing & QA provider, we strive to get the best out of development team with the unbiased approach.Reducing the overall cost by paying only for the actual hours worked by the QA team. No cost of infrastructure and maintenance.Timely reporting of bugs in development to reduce bottlenecks and streamline the overall development process.Please let me know if we can have a brief, 15 minute call in coming days to discuss about how we can provide value to {{Company Name}}. Or you can brief us about your Testing challenges over email. Looking forward towards your response.Best regards,"
2,APIs & Data,Meeting {{Company Name}} / {{Your Company Name}},"Hi {{First Name}},I wanted to see if you'd be available to connect in the next few weeks. In case you're not familiar with {{Your Company Name}}, we provide ""in-the-wild"" digital testing for thousands of websites, mobile apps, and IOT devices.I'd like to learn more about your current initiatives at {{Company Name}} and give you a brief update on how we've recently been working with similar companies regarding the following:Increasing real-world feedback from professional testers to minimize issues found in production and improve digital experiencesContinuous functional and usability feedback and research teams that match your target marketsNon-Functional Testing including Security, Usability, Accessibility, and Beta Management
Would you be open to a brief discussion?  Please suggest some times and dates that work best.Best Regards,"
3,"Accounting, HR, Admin & Payroll",Devs ready!! Hoping to help...,"Hi {{First Name}},I really wanted to get in touch to introduce myself and have a quick conversation about software development plans, projects and practices.I’ve done extensive research on {{Company Name}}, and we at {{Your Company Name}} would be very interested in talking about a potential Strategic Partnership on the IT Outsourcing field within a LATAM/nearshore focus.Let me know if you have any time this week so we can talk.Respectfully,"
4,Infrastructure & Hosting,What does your QA process look like?,"Hi {{First Name}},Have you thought about the most effective ways of implementing QA testing? Would you like to reduce the costs of testing and focus on new features?{{Your Company Name}} has a team of 100+ solid QA engineers that can test your product at any stage of development and address feedback on the fly. Our teams have helped companies like {{Reference Company 1}}, {{Reference Company 2}}, and {{Reference Company 3}}.{{First Name}}, we’d love to tell you more if you have a chance to chat. Just let me know a time that works for you and I’ll be in touch.Best,"
5,Advertising,Is there room?,"Hi {{FirstName}}, I came across {{Company Name}} and since your startup is in the tech space, I wanted to shoot over some information about what we do and see if there is room for us to work together. We are an SF Bay Area based Development Company and help startups like yours to succeed in achieving their goals. We do this by taking care of their software development needs (Mobile, Cloud, Web) and doing an excellent job at that. We have some amazing startups on our success board like {{Reference Customer 1}}, (Acquired by {{Enterprise Company}}), {{Reference Customer 2}}, {{Reference Customer 3}} & {{Reference Customer 4}} and would love to add value to your startup as well. Lastly, just to share what we have in mind, are you available for a quick chat this week? Cheers,"
6,Customer Support Software,{{Company Name}} | {{Your Name}} - {{Contact’s Full Name}},"{{First Name}},I was hoping to introduce myself and my company Applause and see if it makes sense to have a conversation around QA and app testing at this time. We’re an app quality platform that's streamlined to start helping you quickly.Would it be helpful to offload some QA work to our custom project management teams and expand your coverage with our “in-the-wild” testing?"
7,Recruiting & Staffing,Can we set up a call?,"Hi {{First Name}},I'm reaching out to you have time for a short 15-minute call to discuss your upcoming digital initiatives and ways {{Your Company Name}} can streamline your development process and reduce cost, without sacrificing features, design, or quality.As Co-Founder for {{Company Name}}, I know it's important for you to reduce your software/ application development costs while maintaining your agility, quality, and development velocity. I wanted to discuss how we can help you achieve that and deliver impactful development outcomes.At {{Your Company Name}}, our global delivery model enables our clients to focus on their main objectives, instead of spreading themselves thin on development work. Our global team of over 1,200 developers has helped five early stage start-ups, such as {{Reference Customer 1}}, {{Reference Customer 2}}, and {{Reference Customer 3}} disrupt their industry and transform into unicorn status companies.Do you have time next week or even next month for a short 15-minute call to discuss this? Please let me know a good time and I will send over a calendar invite. Thanks,"
8,,Looking to Connect,"We help test web and mobile apps with real users/devices under real world conditions by leveraging our community of 250,000+ profiled and vetted QA testers. If this is something of interest to you, I’d be happy to coordinate calendars and hop on a call to explore the opportunity to work together.Let me know some times that work best on your end!"
9,,"Mo-Money, Mo-Money, Mo-Money (Great job!)...","How is {{Company Name}} doing, {{First Name}}?Well I have to imagine since you secured {{Total Funding}} in funding that things are good.Congrats on that as I know that is NO SMALL FEAT!I took a look at your site and overall I think content is good but the time is now to start creating EPIC content and Media coverage on sites like Huffington Post, Forbes to drive traffic.Is this something you would be interested in?Do you want to hear what has worked for my past clients?Of course you do, just go here ⇒ {{Link to Calendar}} schedule some time and you can pick {{Founder’s First Name}} brain (he is the founder of Content Solutions) for free! Yes I said FREE.Talk soon,"
10,,{{Company Name}} Video,"Hi {{First Name}},My name is {{Your First Name}}, and I'm a producer at {{Your Company Name - Linked To Website}} . We are a video content creation studio that brings you animated videos -- the powerful media used by start-up and corporate to tell they story .Explore our website {{Your Company Name - Linked To Website}} and see how {{Company Name}} can create funny and interesting video to showcase your product that grabs audience attention. Also, we're happy to share reference videos and pricing details.It would be great to set up a five-minute chat about creating video content for {{Company Name}} that helps you achieve your goals. Looking forward for your reply."
11,,A little help?,"Hi {{First Name}}, Your profile stood out to me as the person to speak with about the current strategy for sales development over at {{Company Name}}. I could be way off base here but would love to get on your calendar for a 10 minute phone call to see if we can provide a boost to your sales pipeline.  Our clients are seeing an average of 60% cost savings by having {{Your Company Name}} supplement their current sales development activities.When works for you in the next few days?If there's someone else I should be speaking with, I'd really appreciate if you could point me in the right direction.Thanks!"
12,,blueprint for sales and marketing,"Hey {{First Name}},Just reaching out to see if you might be interested. We're currently offering a blueprint for sales and marketing: 90 day plan to setup your sales and marketing systems and processes.The goal-- to build the entire framework needed to give junior employees the structure they need to succeed, and automate your sales and marketing.Our blueprints will increase your pipeline velocity and volume, shorten your sales cycles, provide more accurate forecasting, improve onboarding, and setup your sales and marketing teams to succeed.And we do this all in 90 days.Here's a link to a short slide deck with a little more information.I'll reach out again once you've had a chance to review.Talk soon."
13,,Creating Compelling Videos,"Hey {{First Name}},Emailing you with a simple idea.We can make compelling video content for you-- for sales, for engagement, and for conversions. Over the last 6 years we've created a lot of video.Are you the right person to talk with?  Or perhaps you can forward this email to the appropriate party if not :-)Cheers,"
14,,Referral -- Sales & Marketing @ {{Company Name}},"My name is {{Your First Name}}, and I'm the {{Your Title}} at {{Your Company Name}}.  I wanted to introduce you to {{Your Product Name}}, our revolutionary Prospecting Software.  This will be of interest to anyone at {{Company Name}} in Sales or Marketing.Does your sales team find it challenging to connect with the right decision makers at the right accounts?  Would you prefer that your reps are spending more time IN meetings and less time trying to CREATE meetings?{{Your Product Name}} is an email-based artificial intelligence prospecting system that navigates to the right decision maker, makes sure they're interested in your solution, and engages in a back and forth dialog until they say, ""Let's set up a time to talk."" We then deliver Meeting-Ready Leads right to your inbox.{{Your Company Name}} has supercharged the sales funnel for dozens of the world's most innovative tech companies backed by firms like Andreessen Horowitz, Venrock, Battery, and Accel.I would be happy to answer any questions you might have.  Please feel free to forward this along to any of your associates in Marketing or Sales that might find this of interest.Let's put a few minutes in the calendar so we can show you how {{Company Name}} will benefit!  When would be a convenient time for you?Kind regards,"
15,,B2B Sales,"Hi {{First Name}},Nice to e-meet you! I wanted to share with you a marketing software solution that you might be interested in implementing at {{Company Name}}. Our bot can connect you to 5,000 targets/week that generate 200-400 view backs, and 20-40 interested connections - a week for one account. This is a great way to expand your network, connect you to the right people and do B2B sales in a very short period of time. Let me know if you're interested in using this marketing strategy and growing your business. I will be happy to get on a brief call with you.Looking forward to connecting with you!"
16,,sales idea for {{Company Name}},"Hi {{First Name}},How is {{Company Name}} building prospect lists at this time?After graduating Y Combinator, my founders created an easy way for B2B startups to build highly targeted lists of hundreds of leads with verified emails in minutes. Just tell our software who your ideal customer profile is, and our software sets appointments for you.When do you have time for a short call so I can show you how it works and help you create a list of 100 free leads for {{Company Name}}?Thanks,"
17,,Call with {{Your Company Name}} tomorrow,"Hi {{First Name}},We're twinning! You're in good company because we happen to be a YC company as well.My name is {{Your Name}} and I work with companies like {{Reference Customer 1}} and {{Reference Customer 2}} to automate the tedious paperwork that creates friction in workflows. Is increasing the productivity of {{Company Name}} up your alley?If so, I'd love to show you a demo on how  {{Your Product Category}} can enhance your workflow.  Are you free tomorrow at 2pm PST for a 15 minute chat?Speak to you soon!All the best,"
18,,Mobile Growth in 2017,"Hi {{First Name}},It would be great to connect with {{Company Name}} to explore how smart notifications drive increased mobile growth in 2017.{{Your Product Name}} are quickly becoming the new standard for push notifications, using 200+ device data points and machine learning arranged into 30 simple-to-use triggers; by delivering at the right moment, apps are getting open rates of 42% compared to today's norm of 3%. In short, {{Your Company Name}} boosts app engagement & usage by delivering 1-to-1 notifications at the right moment for each user.Would you be open to having a brief 10-min conversation on {{Date Next Week}} at 10am PST to explore your growth plans further?Best regards,"
19,,inspiring words,"Hey {{First Name}} I've been listening to your interview at Nathan Latka's  podcast (The Top Entrepreneurs) and your words are really inspiring for me.As {{Job Title}} you would know how difficult is to get new clients for {{Company Name}} and expand your company visibility.I would love to take your outbound strategy to a whole new level using Lead Generation.Can we talk?Thanks in advance,"
20,,{{First Name}} & {{Your First Name}} | Partner to close deals in the fintech space?,"Hi {{First Name}},I run business development for {{Your Company Name}} - we give growing companies an unfair advantage to beat revenue goals. We have an edge in the fintech space so I thought we'd have much to discuss.Here's the problem: most fast growing fintech companies hire as many sales people as possible to solve for scale, missing a more efficient strategy - where we come in.We're not a lead gen or appointment setting firm, but rather a revenue focused extension (not a replacement) of your sales team. We work at scale delivering strong ROI by handling the grunt work of prospecting, qualifying, networking, and outreach. We then loop in your closers when the lead is hot, keeping their focus on directly generating revenue.Any interest in a short chat?"
21,,Can we review this week?,"Hi {{First Name}},I suspect like most executives you're swamped, so I'll cut to the chase. If your company needs more sales, you know what you really need is more qualified sales leads. That's what we guarantee our clients and why I'm reaching out.We're called {{Your Company Name}}. In 12 years and many hundreds of happy customers, we've become the go-to guys in the marketplace for guaranteed, qualified sales leads. In fact, if you type any permutation of guaranteed qualified sales leads into Google, you'll find one company listed above all others in non-paid search: {{Your Company Name}}.Why such prominence? Because we guarantee that you get a sellable opportunity, or you don't pay for the lead. Period. We like to say that if you were selling Band-Aids, you would only want to talk to people who were bleeding. Well that's what we do. For every client. And we guarantee it.The way we do it is through a combination of digital, web and social outreach that connects our clients with only those companies and executives that need their products, or services. In short, you direct us to your targeted companies and titles. We secure you appointments with 'people who are bleeding.' You tell us which of those meetings are in fact 'sales qualified.' You only pay if they are.In other words, {{First Name}}, we guarantee you the sellable opportunities you and your team need to drive more sales. What's more, we charge less per qualified sales appointment than any comparable service in the marketplace and we require no set-up fee, or multi-month contract.Let's briefly discuss. Just let me know when you have a few minutes for a phone call and I'll get something scheduled. Talk soon.Regards,"
22,,Free beta testing: scaling SDR resource for {{Company Name}},"Hi {{First Name}},I'm researching the top startup+sales people in {{City Name}} and heard of you via YC.My name is {{Your First Name}} and I'm a co-founder at {{Your Company Name}}, where we built a prospecting tool. {{Your Product Name}} is a proprietary AI platform, that replaces pre-qualification, enabling your SDR team to engage more qualified leads and faster.TL:DR We're in beta and working with some great companies like {{Reference Client 1}} and {{Reference Client 2}} and looking for some additional Free beta users to partner with. We made a business case for {{Company Name}}, which you find attached.Would love to hop on a call and learn more about how your team structures their outbound tech stack currently and how {{Your Product Name}} can help enable your SDRs to more efficiently use their time.How's Tuesday at 10:00am or on Wednesday at 2:00pm to chat?Thanks a million {{First Name}}!"
23,,{{Company Name}} - {{Your Company Name}},"Hey {{First Name}},How does this {{Company Name}} interface with AI-based contact card look? Won't it make writing an email easier and more responsive?  [image of a mock up with solution implemented inside target company's product]{{Your Company Name}} uses cutting-edge AI and Machine Learning-based algorithms and models to provide out-of-the-box hard and soft (behavioral) data about individuals based on their public social footprint, which can help users write emails to them in both a personal and informed way. Some such info are: Communication style that would be most effective Demographic attributes Interests Social handles Can we have a quick call to discuss this? Please let me know when is a good time. Look forward!Cheers,"
24,,{{Your Company Name}} and {{Company Name}},"Hey {{First Name}},Does {{Company Name}} currently use a business intelligence solution? I know that as {{Job Title}}, you probably view multiple reports for your business at least daily or weekly. We've actually closed the gap between the DIY space (too time consuming) and the enterprise space (too expensive for what you get).We'd love the opportunity to walk you through our BI dashboard solution. It'd only take 15-20 minutes. Feel free to book a time by clicking on the link below: {{Calendar Link}}Here are some attachments you can view as well if you'd like more information before doing so."
25,,Subject: {{Your Company Name}} API at {{Company Name}}?,"Hi {{First Name}}I hope this email finds you well. I've been researching {{Industry}} platforms and came across {{Company Name}}. It seemed like a growing platform for {{Industry}} to me. We are a content optimization company which focuses on optimizing the language regardless of any nuances.We're launching an optimization API for English with grammar correction, synonyms and spelling suggestions, and style guide. We are partnering with companies like {{Company Name}} to help their users improve their writing within the platform itself. I think I have a good understanding of {{Company Name}} and was hoping we could schedule some time for a discussion to understand it better and give you some info on what {{Your Company Name}} could offer. Let me know what works on your end. I'm open this week and look forward to speaking with you.Cheers"
